"Program","CardName","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","Value"
"Citi ThankYou Points","Costco Anywhere Visa Business Card by Citi","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=Citi-costco-anywhere-visa-business-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~6VID127661C2111111W","GO BIG with cash back rewards for business Earn Costco cash rewards everywhere VisaÂ® is accepted.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/Citi-costco-anywhere-visa-business-credit-card.jpg",0.016,0
"Citi ThankYou Points","Citi Secured Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-secured-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~1P5ZA2Q711C2L00101W","Start building credit for tomorrow with a secured credit card  No Annual Fee1",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-secured-credit-card.jpg",0.016,0
"Citi ThankYou Points","Citi ThankYou Preferred Card for College Students","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-thankyou-preferred-credit-cards-for-college-students&category=view-all-credit-cards&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4CYCZ4J6Y0ZL000001W","Earn 2,500 bonus points after spending $500 within the first 3 months of account opening.2",0,2500,0,0,0,0,500,"https://www.citi.com/CRD/images/card_no_reflection/citi-thankyou-preferred-credit-cards-for-college-students.jpg",0.016,40
"Citi ThankYou Points","Costco Anywhere Visa Card by Citi","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=Citi-costco-anywhere-visa-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~GIDC125661C2111111W","GO BIG with cash back rewards Earn Costco cash rewards everywhere VisaÂ® is accepted.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/Citi-costco-anywhere-visa-credit-card.jpg",0.016,0
"Citi ThankYou Points","AT&T Access Card From Citi","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-att-access-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~6AKZ17D681C2111111W","Earn 10,000 Bonus ThankYouÂ® Points after making 1,000 in purchases within 3 months of account opening.Plus earn 2X points on purchases made online at retail and travel websites.",0,10000,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-att-access-credit-card.jpg",0.016,160
"Citi ThankYou Points","Citi Prestige Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-prestige-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-prestige-card~4KMZ13Q671C2H10203W","Earn 40,000 bonus points   after making $4,000 in purchases within the first 3 months of account opening. Annual Fee $450",0,40000,0,250,0,450,4000,"https://www.citi.com/CRD/images/card_no_reflection/citi-prestige-card.jpg",0.016,440
"Citi ThankYou Points","Citi Double Cash Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-double-cash-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-double-cash-credit-card~4T5ZMCS711C2L10203W","Earn Cash Back TWICE with 1% on purchases and 1% as you pay for those purchases in full or over time.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-double-cash-credit-card.jpg",0.016,0
"Citi ThankYou Points","Citi Diamond Preferred Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-diamond-preferred-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-diamond-preferred-credit-card~4DNZ5S9721C2L10201W","Our lowest intro APR for 21 months plus VIP access.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-diamond-preferred-credit-card.jpg",0.016,0
"Citi ThankYou Points","Citi Simplicity Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-simplicity-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-simplicity-credit-card~4DPZW5F721C2L10203W","To be simple is to be great. This is the only card with No Late Fees, No Penalty Rate and No Annual Fee - Ever. Plus our lowest intro APR for 21 months on purchases and balance transfers.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-simplicity-credit-card.jpg",0.016,0
"Citi ThankYou Points","EXPEDIA + VOYAGER CARD from Citi","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=expedia-plus-voyager&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~expedia-plus-voyager~4WHIE97711C2L10201W","Earn a 25,000 Expedia+ bonus points after $2,000 in purchases within 3 months of account opening Annual Fee: $95",0,25000,0,0,0,95,2000,"https://www.citi.com/CRD/images/card_no_reflection/expedia-plus-voyager.jpg",0.016,305
